#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
273158:4915,05/11/16 20:42:35,1279,HLT_PFJet200_v4,0.000682629,0.000638928
273302:4919,05/13/16 02:13:38,459,HLT_PFJet200_v4,0.000214345,0.000205627
273402:4924,05/14/16 01:49:19,193,HLT_PFJet200_v4,0.000065403,0.000061846
273403:4924,05/14/16 03:05:27,65,HLT_PFJet200_v4,0.000029655,0.000022964
273404:4924,05/14/16 03:31:50,22,HLT_PFJet200_v4,0.000009970,0.000007703
273405:4924,05/14/16 03:42:33,28,HLT_PFJet200_v4,0.000012636,0.000010078
273406:4924,05/14/16 03:56:09,117,HLT_PFJet200_v4,0.000051993,0.000047541
273408:4924,05/14/16 04:52:04,8,HLT_PFJet200_v4,0.000280398,0.000181778
273409:4924,05/14/16 04:56:41,314,HLT_PFJet200_v4,0.000256079,0.000226496
273410:4924,05/14/16 06:59:49,98,HLT_PFJet200_v4,0.000077641,0.000065548
273411:4924,05/14/16 07:38:50,29,HLT_PFJet200_v4,0.000018841,0.000017644
273425:4925,05/14/16 11:17:57,678,HLT_PFJet200_v4,0.000357718,0.000336796
273446:4926,05/14/16 20:06:55,46,HLT_PFJet200_v4,0.000023873,0.000016010
273447:4926,05/14/16 20:26:09,419,HLT_PFJet200_v4,0.000207184,0.000193660
273448:4926,05/14/16 23:11:51,396,HLT_PFJet200_v4,0.000185642,0.000173043
273449:4926,05/15/16 01:50:28,210,HLT_PFJet200_v4,0.000151997,0.000143727
273450:4926,05/15/16 03:19:37,643,HLT_PFJet200_v4,0.000423847,0.000405836
273492:4930,05/16/16 09:07:35,267,HLT_PFJet200_v4,0.000161003,0.000152929
273493:4930,05/16/16 10:55:49,233,HLT_PFJet200_v4,0.000137609,0.000130577
273494:4930,05/16/16 12:28:40,192,HLT_PFJet200_v4,0.000109786,0.000106230
273502:4935,05/16/16 20:00:07,997,HLT_PFJet200_v4,0.000617400,0.000590089
273503:4935,05/17/16 02:31:25,598,HLT_PFJet200_v4,0.000329629,0.000319478
273554:4942,05/18/16 05:30:44,366,HLT_PFJet200_v4,0.000210684,0.000199373
273555:4942,05/18/16 07:55:51,173,HLT_PFJet200_v4,0.000093870,0.000090837
273725:4947,05/20/16 02:37:26,2470,HLT_PFJet200_v4,0.001604637,0.001546591
273728:4947,05/20/16 19:02:03,104,HLT_PFJet200_v4,0.000066731,0.000061707
273730:4947,05/20/16 19:47:25,2126,HLT_PFJet200_v4,0.001385771,0.001343696
274094:4953,05/27/16 02:21:04,225,HLT_PFJet200_v4,0.000127670,0.000122849
274146:4956,05/27/16 22:11:21,70,HLT_PFJet200_v4,0.000044068,0.000038278
274157:4958,05/28/16 11:50:04,427,HLT_PFJet200_v4,0.000195517,0.000184973
274159:4958,05/28/16 14:43:47,43,HLT_PFJet200_v4,0.000030047,0.000026618
274160:4958,05/28/16 15:02:52,211,HLT_PFJet200_v4,0.000143080,0.000134658
274161:4958,05/28/16 16:26:18,516,HLT_PFJet200_v4,0.000326330,0.000315148
274172:4960,05/29/16 00:45:19,65,HLT_PFJet200_v4,0.000033493,0.000029626
274198:4961,05/29/16 20:00:35,112,HLT_PFJet200_v4,0.000056302,0.000051078
274199:4961,05/29/16 20:45:19,630,HLT_PFJet200_v4,0.000368515,0.000350252
274200:4961,05/30/16 00:53:47,674,HLT_PFJet200_v4,0.000470305,0.000456332
274240:4964,05/30/16 13:59:19,83,HLT_PFJet200_v4,0.000039921,0.000036725
274241:4964,05/30/16 14:43:35,1176,HLT_PFJet200_v4,0.000710853,0.000679726
274244:4964,05/30/16 22:37:51,593,HLT_PFJet200_v4,0.000662634,0.000641110
274250:4965,05/31/16 05:55:31,703,HLT_PFJet200_v4,0.000375452,0.000354384
274251:4965,05/31/16 10:30:54,546,HLT_PFJet200_v4,0.000302306,0.000292602
274283:4976,06/01/16 03:25:03,19,HLT_PFJet200_v4,0.000011380,0.000001469
274284:4976,06/01/16 03:34:51,213,HLT_PFJet200_v4,0.000118829,0.000110880
274286:4976,06/01/16 05:04:18,154,HLT_PFJet200_v4,0.000083449,0.000079872
274314:4979,06/01/16 15:02:56,69,HLT_PFJet200_v4,0.000046980,0.000037359
274315:4979,06/01/16 15:32:32,425,HLT_PFJet200_v4,0.000273975,0.000259429
274316:4979,06/01/16 18:20:25,970,HLT_PFJet200_v4,0.000528843,0.000505964
274317:4979,06/02/16 00:39:53,18,HLT_PFJet200_v4,0.002411526,0.000314271
274319:4979,06/02/16 00:56:19,225,HLT_PFJet200_v4,0.000108975,0.000105399
274335:4980,06/02/16 09:10:43,944,HLT_PFJet200_v4,0.000573190,0.000548820
274336:4980,06/02/16 15:25:02,14,HLT_PFJet200_v4,0.000007685,0.000006675
274337:4980,06/02/16 15:32:31,17,HLT_PFJet200_v4,0.000009286,0.000006821
274338:4980,06/02/16 15:41:22,698,HLT_PFJet200_v4,0.000495783,0.000467349
274339:4980,06/02/16 20:15:40,95,HLT_PFJet200_v4,0.000063522,0.000059720
274344:4980,06/02/16 21:29:06,634,HLT_PFJet200_v4,0.000677267,0.000645742
