#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
274969:5013,06/12/16 06:41:54,1003,HLT_PFJet140_v5,0.000132311,0.000123067
274970:5013,06/12/16 13:12:54,47,HLT_PFJet140_v5,0.000005763,0.000004337
274971:5013,06/12/16 13:33:30,905,HLT_PFJet140_v5,0.000101595,0.000098459
274998:5017,06/13/16 04:19:30,725,HLT_PFJet140_v5,0.000086918,0.000081519
274999:5017,06/13/16 09:04:45,1252,HLT_PFJet140_v5,0.000161985,0.000155098
275000:5017,06/13/16 17:15:35,140,HLT_PFJet140_v5,0.000016957,0.000015948
275001:5017,06/13/16 18:12:42,2057,HLT_PFJet140_v5,0.000241842,0.000235660
275059:5020,06/14/16 16:49:52,42,HLT_PFJet140_v5,0.000004007,0.000003141
275066:5020,06/14/16 17:45:35,105,HLT_PFJet140_v5,0.000012468,0.000010856
275067:5020,06/14/16 18:28:40,396,HLT_PFJet140_v5,0.000046666,0.000044429
275068:5020,06/14/16 21:05:49,921,HLT_PFJet140_v5,0.000111051,0.000105871
275073:5020,06/15/16 03:32:47,519,HLT_PFJet140_v5,0.000071074,0.000068311
275074:5020,06/15/16 06:56:59,647,HLT_PFJet140_v5,0.000078910,0.000076334
275124:5021,06/15/16 17:50:26,328,HLT_PFJet140_v5,0.000038066,0.000035966
275125:5021,06/15/16 20:00:21,989,HLT_PFJet140_v5,0.000122267,0.000116953
275282:5024,06/17/16 00:05:52,91,HLT_PFJet140_v5,0.000010284,0.000009619
275283:5024,06/17/16 00:43:11,132,HLT_PFJet140_v5,0.000016831,0.000016027
275284:5024,06/17/16 01:36:53,74,HLT_PFJet140_v5,0.000009236,0.000008892
275290:5024,06/17/16 03:58:56,48,HLT_PFJet140_v5,0.000005499,0.000001914
275291:5024,06/17/16 04:28:35,352,HLT_PFJet140_v5,0.000041905,0.000039802
275292:5024,06/17/16 06:46:47,121,HLT_PFJet140_v5,0.000016448,0.000015677
275293:5024,06/17/16 07:37:27,200,HLT_PFJet140_v5,0.000026020,0.000025138
275309:5026,06/17/16 13:48:15,570,HLT_PFJet140_v5,0.000072477,0.000068846
275310:5026,06/17/16 17:32:53,1935,HLT_PFJet140_v5,0.000231740,0.000223928
275311:5026,06/18/16 06:07:07,1253,HLT_PFJet140_v5,0.000158074,0.000154307
275319:5027,06/18/16 18:56:15,146,HLT_PFJet140_v5,0.000015912,0.000014558
275337:5027,06/18/16 21:26:04,430,HLT_PFJet140_v5,0.000051661,0.000049278
275338:5027,06/19/16 00:15:37,520,HLT_PFJet140_v5,0.000066895,0.000064721
275344:5028,06/19/16 08:18:25,287,HLT_PFJet140_v5,0.000031746,0.000029838
275345:5028,06/19/16 10:12:11,353,HLT_PFJet140_v5,0.000044752,0.000042794
275370:5029,06/19/16 16:19:29,291,HLT_PFJet140_v5,0.000032894,0.000030642
275371:5029,06/19/16 18:16:49,569,HLT_PFJet140_v5,0.000070732,0.000067189
275375:5030,06/20/16 02:17:12,1327,HLT_PFJet140_v5,0.000162983,0.000156363
275376:5030,06/20/16 10:55:04,3096,HLT_PFJet140_v5,0.000387347,0.000377410
275657:5038,06/24/16 03:32:32,109,HLT_PFJet140_v5,0.000011582,0.000010169
275658:5038,06/24/16 04:16:07,344,HLT_PFJet140_v5,0.000038586,0.000035755
275659:5038,06/24/16 06:31:38,17,HLT_PFJet140_v5,0.000001801,0.000001740
275761:5043,06/25/16 04:24:16,11,HLT_PFJet140_v5,0.000001173,0.000000841
275767:5043,06/25/16 05:31:36,8,HLT_PFJet140_v5,0.000001895,0.000000838
275772:5043,06/25/16 06:28:17,61,HLT_PFJet140_v5,0.000006954,0.000006148
275773:5043,06/25/16 06:53:33,12,HLT_PFJet140_v5,0.000002694,0.000001404
275774:5043,06/25/16 07:01:55,316,HLT_PFJet140_v5,0.000036599,0.000034450
275776:5043,06/25/16 09:11:23,143,HLT_PFJet140_v5,0.000018043,0.000016776
275777:5043,06/25/16 10:12:24,304,HLT_PFJet140_v5,0.000036452,0.000034559
275778:5043,06/25/16 12:13:15,319,HLT_PFJet140_v5,0.000035717,0.000032973
275782:5043,06/25/16 14:44:49,761,HLT_PFJet140_v5,0.000104124,0.000100227
275832:5045,06/26/16 17:18:04,371,HLT_PFJet140_v5,0.000042665,0.000039587
275833:5045,06/26/16 19:45:07,251,HLT_PFJet140_v5,0.000028899,0.000027528
275834:5045,06/26/16 21:26:02,297,HLT_PFJet140_v5,0.000034962,0.000033619
275835:5045,06/26/16 23:24:23,13,HLT_PFJet140_v5,0.000001638,0.000001493
275836:5045,06/26/16 23:32:00,1284,HLT_PFJet140_v5,0.000160978,0.000152540
275837:5045,06/27/16 07:59:11,715,HLT_PFJet140_v5,0.000086792,0.000084176
275847:5045,06/27/16 13:59:22,2263,HLT_PFJet140_v5,0.000263852,0.000257610
275886:5048,06/28/16 08:39:25,40,HLT_PFJet140_v5,0.000004402,0.000003832
275890:5048,06/28/16 09:27:45,1393,HLT_PFJet140_v5,0.000164094,0.000157556
275911:5052,06/29/16 01:49:35,381,HLT_PFJet140_v5,0.000042292,0.000040056
275912:5052,06/29/16 04:21:23,297,HLT_PFJet140_v5,0.000033822,0.000031514
275913:5052,06/29/16 06:19:55,480,HLT_PFJet140_v5,0.000058746,0.000055277
275918:5052,06/29/16 09:29:20,332,HLT_PFJet140_v5,0.000037120,0.000035845
275920:5052,06/29/16 11:54:52,472,HLT_PFJet140_v5,0.000065677,0.000061515
275921:5052,06/29/16 14:59:30,27,HLT_PFJet140_v5,0.000003641,0.000002718
275923:5052,06/29/16 15:16:55,127,HLT_PFJet140_v5,0.000016791,0.000016046
275931:5052,06/29/16 16:34:22,89,HLT_PFJet140_v5,0.000011330,0.000011010
275963:5056,06/30/16 01:02:54,90,HLT_PFJet140_v5,0.000010433,0.000009885
276092:5060,07/01/16 02:14:32,80,HLT_PFJet140_v5,0.000008426,0.000007464
276097:5060,07/01/16 03:07:31,507,HLT_PFJet140_v5,0.000059537,0.000057130
276242:5069,07/02/16 14:05:34,1649,HLT_PFJet140_v5,0.000205325,0.000194787
276243:5069,07/03/16 00:56:20,625,HLT_PFJet140_v5,0.000085468,0.000078523
276244:5069,07/03/16 05:03:30,1202,HLT_PFJet140_v5,0.000138838,0.000133637
276282:5071,07/03/16 18:15:01,1069,HLT_PFJet140_v5,0.000126083,0.000120542
276283:5071,07/04/16 01:13:27,1087,HLT_PFJet140_v5,0.000138742,0.000133228
276315:5072,07/04/16 11:19:05,180,HLT_PFJet140_v5,0.000020322,0.000018808
276317:5072,07/04/16 12:32:52,140,HLT_PFJet140_v5,0.000016704,0.000015643
276318:5072,07/04/16 13:29:46,574,HLT_PFJet140_v5,0.000066112,0.000062898
276355:5073,07/04/16 21:39:48,33,HLT_PFJet140_v5,0.000003271,0.000003136
276361:5073,07/04/16 22:36:15,831,HLT_PFJet140_v5,0.000101616,0.000096860
276363:5073,07/05/16 04:07:36,1480,HLT_PFJet140_v5,0.000194839,0.000185896
276384:5073,07/05/16 13:46:43,1117,HLT_PFJet140_v5,0.000126292,0.000122564
276437:5076,07/06/16 02:58:47,2125,HLT_PFJet140_v5,0.000258528,0.000248714
276454:5076,07/06/16 18:08:15,527,HLT_PFJet140_v5,0.000065968,0.000064060
276458:5076,07/07/16 02:00:22,341,HLT_PFJet140_v5,0.000038680,0.000037791
276495:5078,07/07/16 11:20:57,187,HLT_PFJet140_v5,0.000020719,0.000019244
276501:5078,07/07/16 12:46:30,2550,HLT_PFJet140_v5,0.000302351,0.000290607
276502:5078,07/08/16 05:20:54,741,HLT_PFJet140_v5,0.000088980,0.000086179
276525:5080,07/08/16 14:14:55,2793,HLT_PFJet140_v5,0.000339369,0.000327469
276527:5080,07/09/16 08:34:41,214,HLT_PFJet140_v5,0.000023372,0.000022644
276528:5080,07/09/16 10:00:39,394,HLT_PFJet140_v5,0.000042924,0.000041506
276542:5083,07/09/16 16:32:22,784,HLT_PFJet140_v5,0.000088164,0.000083831
276543:5083,07/09/16 21:39:40,959,HLT_PFJet140_v5,0.000112428,0.000106952
276544:5083,07/10/16 03:53:24,161,HLT_PFJet140_v5,0.000023257,0.000022197
276545:5083,07/10/16 04:59:01,207,HLT_PFJet140_v5,0.000027975,0.000026880
276581:5085,07/10/16 12:24:16,369,HLT_PFJet140_v5,0.000041432,0.000039436
276582:5085,07/10/16 14:52:29,873,HLT_PFJet140_v5,0.000101700,0.000098000
276583:5085,07/10/16 20:34:28,56,HLT_PFJet140_v5,0.000006412,0.000005654
276584:5085,07/10/16 20:59:17,2,HLT_PFJet140_v5,0.000000456,0.000000249
276585:5085,07/10/16 21:31:21,246,HLT_PFJet140_v5,0.000026682,0.000025164
276586:5085,07/10/16 23:10:08,752,HLT_PFJet140_v5,0.000100364,0.000096967
276587:5085,07/11/16 04:13:21,1006,HLT_PFJet140_v5,0.000112642,0.000108608
276653:5091,07/12/16 00:12:31,484,HLT_PFJet140_v5,0.000054133,0.000051563
276655:5091,07/12/16 03:26:27,1105,HLT_PFJet140_v5,0.000135428,0.000126790
276659:5091,07/12/16 10:39:13,251,HLT_PFJet140_v5,0.000033045,0.000030234
276775:5093,07/12/16 21:26:20,1165,HLT_PFJet140_v5,0.000138778,0.000131506
276776:5093,07/13/16 05:02:29,1823,HLT_PFJet140_v5,0.000226522,0.000218751
276794:5093,07/13/16 17:05:19,885,HLT_PFJet140_v5,0.000109614,0.000106848
276807:5095,07/14/16 03:24:10,160,HLT_PFJet140_v5,0.000018030,0.000016421
276808:5095,07/14/16 04:28:59,877,HLT_PFJet140_v5,0.000105931,0.000101609
276810:5095,07/14/16 10:15:44,288,HLT_PFJet140_v5,0.000033795,0.000032263
276811:5095,07/14/16 12:15:34,2563,HLT_PFJet140_v5,0.000321094,0.000311163
276831:5096,07/15/16 07:47:46,2644,HLT_PFJet140_v5,0.000331619,0.000318064
276834:5096,07/16/16 01:42:10,724,HLT_PFJet140_v5,0.000090108,0.000085759
276870:5097,07/16/16 11:02:01,3403,HLT_PFJet140_v5,0.000411628,0.000397402
276935:5101,07/17/16 23:39:55,824,HLT_PFJet140_v5,0.000082745,0.000078462
276940:5102,07/18/16 08:13:36,144,HLT_PFJet140_v5,0.000012937,0.000010823
276946:5102,07/18/16 09:56:36,27,HLT_PFJet140_v5,0.000002444,0.000001679
276947:5102,07/18/16 10:11:19,141,HLT_PFJet140_v5,0.000014880,0.000011175
276948:5102,07/18/16 11:09:47,475,HLT_PFJet140_v5,0.000056916,0.000051091
276950:5102,07/18/16 14:16:45,2353,HLT_PFJet140_v5,0.000296866,0.000284738
277069:5105,07/19/16 17:52:15,311,HLT_PFJet140_v5,0.000026618,0.000025280
277070:5105,07/19/16 19:54:11,1060,HLT_PFJet140_v5,0.000121927,0.000115203
277071:5105,07/20/16 02:48:37,171,HLT_PFJet140_v5,0.000021121,0.000019010
277072:5105,07/20/16 04:01:41,473,HLT_PFJet140_v5,0.000059733,0.000056304
277073:5105,07/20/16 07:09:53,91,HLT_PFJet140_v5,0.000011181,0.000010680
277076:5105,07/20/16 07:55:58,1033,HLT_PFJet140_v5,0.000132130,0.000127054
277087:5105,07/20/16 17:49:22,988,HLT_PFJet140_v5,0.000128793,0.000124372
277094:5106,07/21/16 04:03:56,588,HLT_PFJet140_v5,0.000052906,0.000050254
277096:5106,07/21/16 07:56:14,2086,HLT_PFJet140_v5,0.000256254,0.000246166
277112:5106,07/21/16 21:29:34,155,HLT_PFJet140_v5,0.000014789,0.000014205
277126:5107,07/22/16 01:36:48,18,HLT_PFJet140_v5,0.000001504,0.000000663
277127:5107,07/22/16 01:46:10,901,HLT_PFJet140_v5,0.000100526,0.000096636
277148:5108,07/22/16 10:31:04,628,HLT_PFJet140_v5,0.000068766,0.000064532
277166:5109,07/22/16 18:10:23,355,HLT_PFJet140_v5,0.000039274,0.000037316
277168:5109,07/22/16 20:34:53,2223,HLT_PFJet140_v5,0.000278426,0.000268338
277180:5110,07/23/16 13:37:57,141,HLT_PFJet140_v5,0.000012939,0.000012013
277194:5111,07/23/16 18:25:08,1954,HLT_PFJet140_v5,0.000220460,0.000207699
277305:5116,07/25/16 01:23:14,683,HLT_PFJet140_v5,0.000064300,0.000060901
277420:5117,07/25/16 19:44:15,263,HLT_PFJet140_v5,0.000024277,0.000022646
277981:5151,08/01/16 11:52:59,76,HLT_PFJet140_v5,0.000006922,0.000006431
277991:5151,08/01/16 15:43:56,90,HLT_PFJet140_v5,0.000013901,0.000012497
277992:5151,08/01/16 16:22:25,311,HLT_PFJet140_v5,0.000049807,0.000047330
278017:5154,08/01/16 23:26:43,517,HLT_PFJet140_v5,0.000040050,0.000037310
278018:5154,08/02/16 02:52:01,1158,HLT_PFJet140_v5,0.000136620,0.000129922
278167:5161,08/03/16 18:39:02,2171,HLT_PFJet140_v5,0.000272134,0.000260652
278175:5161,08/04/16 08:44:58,88,HLT_PFJet140_v5,0.000010131,0.000009878
278193:5162,08/04/16 12:31:44,155,HLT_PFJet140_v5,0.000014480,0.000013788
278239:5163,08/04/16 23:23:01,676,HLT_PFJet140_v5,0.000073689,0.000068014
278240:5163,08/05/16 03:46:54,1303,HLT_PFJet140_v5,0.000168239,0.000161091
278273:5169,08/05/16 17:37:20,40,HLT_PFJet140_v6,0.000002961,0.000002166
278274:5169,08/05/16 17:55:42,85,HLT_PFJet140_v6,0.000007758,0.000007144
278288:5170,08/05/16 21:11:12,15,HLT_PFJet140_v6,0.000001378,0.000001054
