#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
273158:4915,05/11/16 20:42:35,1279,HLT_PFJet320_v4,0.013547122,0.012703915
273302:4919,05/13/16 02:13:38,459,HLT_PFJet320_v4,0.004286906,0.004112530
273402:4924,05/14/16 01:49:19,193,HLT_PFJet320_v4,0.001030094,0.000973440
273403:4924,05/14/16 03:05:27,65,HLT_PFJet320_v4,0.000593101,0.000459290
273404:4924,05/14/16 03:31:50,22,HLT_PFJet320_v4,0.000199407,0.000154056
273405:4924,05/14/16 03:42:33,28,HLT_PFJet320_v4,0.000252720,0.000201550
273406:4924,05/14/16 03:56:09,117,HLT_PFJet320_v4,0.001039858,0.000950820
273408:4924,05/14/16 04:52:04,8,HLT_PFJet320_v4,0.000280398,0.000181778
273409:4924,05/14/16 04:56:41,314,HLT_PFJet320_v4,0.003585108,0.003170937
273410:4924,05/14/16 06:59:49,98,HLT_PFJet320_v4,0.001086978,0.000917679
273411:4924,05/14/16 07:38:50,29,HLT_PFJet320_v4,0.000263780,0.000247015
273425:4925,05/14/16 11:17:57,678,HLT_PFJet320_v4,0.007154362,0.006735915
273446:4926,05/14/16 20:06:55,46,HLT_PFJet320_v4,0.000214853,0.000144090
273447:4926,05/14/16 20:26:09,419,HLT_PFJet320_v4,0.001864653,0.001742943
273448:4926,05/14/16 23:11:51,396,HLT_PFJet320_v4,0.001817422,0.001656526
273449:4926,05/15/16 01:50:28,210,HLT_PFJet320_v4,0.003039947,0.002874536
273450:4926,05/15/16 03:19:37,643,HLT_PFJet320_v4,0.008476945,0.008116729
273492:4930,05/16/16 09:07:35,267,HLT_PFJet320_v4,0.003220058,0.003058578
273493:4930,05/16/16 10:55:49,233,HLT_PFJet320_v4,0.002752175,0.002611550
273494:4930,05/16/16 12:28:40,192,HLT_PFJet320_v4,0.002195717,0.002124595
273502:4935,05/16/16 20:00:07,997,HLT_PFJet320_v4,0.012347999,0.011801782
273503:4935,05/17/16 02:31:25,598,HLT_PFJet320_v4,0.006592582,0.006389558
273554:4942,05/18/16 05:30:44,366,HLT_PFJet320_v4,0.001896159,0.001794354
273555:4942,05/18/16 07:55:51,173,HLT_PFJet320_v4,0.000844826,0.000817535
273725:4947,05/20/16 02:37:26,2470,HLT_PFJet320_v4,0.025415934,0.024484518
273728:4947,05/20/16 19:02:03,104,HLT_PFJet320_v4,0.001334620,0.001234132
273730:4947,05/20/16 19:47:25,2126,HLT_PFJet320_v4,0.024364001,0.023663697
274094:4953,05/27/16 02:21:04,225,HLT_PFJet320_v4,0.002553398,0.002456982
274146:4956,05/27/16 22:11:21,70,HLT_PFJet320_v4,0.000396610,0.000344502
274157:4958,05/28/16 11:50:04,427,HLT_PFJet320_v4,0.001759650,0.001664754
274159:4958,05/28/16 14:43:47,43,HLT_PFJet320_v4,0.000270419,0.000239566
274160:4958,05/28/16 15:02:52,211,HLT_PFJet320_v4,0.001287724,0.001211918
274161:4958,05/28/16 16:26:18,516,HLT_PFJet320_v4,0.002936972,0.002836333
274172:4960,05/29/16 00:45:19,65,HLT_PFJet320_v4,0.000301439,0.000266637
274198:4961,05/29/16 20:00:35,112,HLT_PFJet320_v4,0.000506717,0.000459699
274199:4961,05/29/16 20:45:19,630,HLT_PFJet320_v4,0.003316637,0.003152267
274200:4961,05/30/16 00:53:47,674,HLT_PFJet320_v4,0.004232741,0.004106990
274240:4964,05/30/16 13:59:19,83,HLT_PFJet320_v4,0.000359290,0.000330525
274241:4964,05/30/16 14:43:35,1176,HLT_PFJet320_v4,0.006397674,0.006117538
274244:4964,05/30/16 22:37:51,593,HLT_PFJet320_v4,0.012110692,0.011712395
274250:4965,05/31/16 05:55:31,703,HLT_PFJet320_v4,0.003379064,0.003189454
274251:4965,05/31/16 10:30:54,546,HLT_PFJet320_v4,0.002720753,0.002633420
274283:4976,06/01/16 03:25:03,19,HLT_PFJet320_v4,0.000102418,0.000013223
274284:4976,06/01/16 03:34:51,213,HLT_PFJet320_v4,0.001069463,0.000997916
274286:4976,06/01/16 05:04:18,154,HLT_PFJet320_v4,0.000751042,0.000718851
274314:4979,06/01/16 15:02:56,69,HLT_PFJet320_v4,0.000422818,0.000336229
274315:4979,06/01/16 15:32:32,425,HLT_PFJet320_v4,0.002465778,0.002334861
274316:4979,06/01/16 18:20:25,970,HLT_PFJet320_v4,0.004759589,0.004553680
274317:4979,06/02/16 00:39:53,18,HLT_PFJet320_v4,0.002411526,0.000314271
274319:4979,06/02/16 00:56:19,225,HLT_PFJet320_v4,0.000980778,0.000948594
274335:4980,06/02/16 09:10:43,944,HLT_PFJet320_v4,0.005158714,0.004939378
274336:4980,06/02/16 15:25:02,14,HLT_PFJet320_v4,0.000069162,0.000060076
274337:4980,06/02/16 15:32:31,17,HLT_PFJet320_v4,0.000083575,0.000061392
274338:4980,06/02/16 15:41:22,698,HLT_PFJet320_v4,0.004462049,0.004206140
274339:4980,06/02/16 20:15:40,95,HLT_PFJet320_v4,0.000571702,0.000537484
274344:4980,06/02/16 21:29:06,634,HLT_PFJet320_v4,0.009835608,0.009335247
274345:4980,06/03/16 01:37:46,170,HLT_PFJet320_v4,0.004610811,0.004470056
274382:4984,06/03/16 15:37:56,51,HLT_PFJet320_v4,0.000268608,0.000250017
274387:4985,06/03/16 19:10:09,355,HLT_PFJet320_v4,0.002096810,0.001960588
274388:4985,06/03/16 21:32:38,1820,HLT_PFJet320_v4,0.011093567,0.010699062
274420:4988,06/04/16 20:16:58,176,HLT_PFJet320_v4,0.000999540,0.000945472
274421:4988,06/04/16 21:28:04,348,HLT_PFJet320_v4,0.001922892,0.001814468
