#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
273158:4915,05/11/16 20:42:35,1279,HLT_PFJet260_v4,0.006773561,0.006351958
273302:4919,05/13/16 02:13:38,459,HLT_PFJet260_v4,0.002143453,0.002056265
273402:4924,05/14/16 01:49:19,193,HLT_PFJet260_v4,0.000477141,0.000450792
273403:4924,05/14/16 03:05:27,65,HLT_PFJet260_v4,0.000296551,0.000229645
273404:4924,05/14/16 03:31:50,22,HLT_PFJet260_v4,0.000099703,0.000077028
273405:4924,05/14/16 03:42:33,28,HLT_PFJet260_v4,0.000126360,0.000100775
273406:4924,05/14/16 03:56:09,117,HLT_PFJet260_v4,0.000519929,0.000475410
273408:4924,05/14/16 04:52:04,8,HLT_PFJet260_v4,0.000280398,0.000181778
273409:4924,05/14/16 04:56:41,314,HLT_PFJet260_v4,0.001792554,0.001585469
273410:4924,05/14/16 06:59:49,98,HLT_PFJet260_v4,0.000543489,0.000458839
273411:4924,05/14/16 07:38:50,29,HLT_PFJet260_v4,0.000131890,0.000123508
273425:4925,05/14/16 11:17:57,678,HLT_PFJet260_v4,0.001788591,0.001683979
273446:4926,05/14/16 20:06:55,46,HLT_PFJet260_v4,0.000071618,0.000048030
273447:4926,05/14/16 20:26:09,419,HLT_PFJet260_v4,0.000621551,0.000580981
273448:4926,05/14/16 23:11:51,396,HLT_PFJet260_v4,0.000583589,0.000537154
273449:4926,05/15/16 01:50:28,210,HLT_PFJet260_v4,0.000759987,0.000718634
273450:4926,05/15/16 03:19:37,643,HLT_PFJet260_v4,0.002119236,0.002029182
273492:4930,05/16/16 09:07:35,267,HLT_PFJet260_v4,0.000805014,0.000764644
273493:4930,05/16/16 10:55:49,233,HLT_PFJet260_v4,0.000688044,0.000652887
273494:4930,05/16/16 12:28:40,192,HLT_PFJet260_v4,0.000548929,0.000531149
273502:4935,05/16/16 20:00:07,997,HLT_PFJet260_v4,0.003087000,0.002950446
273503:4935,05/17/16 02:31:25,598,HLT_PFJet260_v4,0.001648146,0.001597389
273554:4942,05/18/16 05:30:44,366,HLT_PFJet260_v4,0.000632053,0.000598118
273555:4942,05/18/16 07:55:51,173,HLT_PFJet260_v4,0.000281609,0.000272512
273725:4947,05/20/16 02:37:26,2470,HLT_PFJet260_v4,0.006809220,0.006560719
273728:4947,05/20/16 19:02:03,104,HLT_PFJet260_v4,0.000333655,0.000308533
273730:4947,05/20/16 19:47:25,2126,HLT_PFJet260_v4,0.005602251,0.005447766
274094:4953,05/27/16 02:21:04,225,HLT_PFJet260_v4,0.000638350,0.000614246
274146:4956,05/27/16 22:11:21,70,HLT_PFJet260_v4,0.000132203,0.000114834
274157:4958,05/28/16 11:50:04,427,HLT_PFJet260_v4,0.000586550,0.000554918
274159:4958,05/28/16 14:43:47,43,HLT_PFJet260_v4,0.000090140,0.000079855
274160:4958,05/28/16 15:02:52,211,HLT_PFJet260_v4,0.000429241,0.000403973
274161:4958,05/28/16 16:26:18,516,HLT_PFJet260_v4,0.000978991,0.000945444
274172:4960,05/29/16 00:45:19,65,HLT_PFJet260_v4,0.000100480,0.000088879
274198:4961,05/29/16 20:00:35,112,HLT_PFJet260_v4,0.000168906,0.000153233
274199:4961,05/29/16 20:45:19,630,HLT_PFJet260_v4,0.001105546,0.001050756
274200:4961,05/30/16 00:53:47,674,HLT_PFJet260_v4,0.001410914,0.001368997
274240:4964,05/30/16 13:59:19,83,HLT_PFJet260_v4,0.000119763,0.000110175
274241:4964,05/30/16 14:43:35,1176,HLT_PFJet260_v4,0.002132558,0.002039179
274244:4964,05/30/16 22:37:51,593,HLT_PFJet260_v4,0.003105535,0.003003767
274250:4965,05/31/16 05:55:31,703,HLT_PFJet260_v4,0.001126355,0.001063151
274251:4965,05/31/16 10:30:54,546,HLT_PFJet260_v4,0.000906918,0.000877807
274283:4976,06/01/16 03:25:03,19,HLT_PFJet260_v4,0.000034139,0.000004408
274284:4976,06/01/16 03:34:51,213,HLT_PFJet260_v4,0.000356488,0.000332639
274286:4976,06/01/16 05:04:18,154,HLT_PFJet260_v4,0.000250347,0.000239617
274314:4979,06/01/16 15:02:56,69,HLT_PFJet260_v4,0.000140939,0.000112076
274315:4979,06/01/16 15:32:32,425,HLT_PFJet260_v4,0.000821926,0.000778287
274316:4979,06/01/16 18:20:25,970,HLT_PFJet260_v4,0.001586530,0.001517893
274317:4979,06/02/16 00:39:53,18,HLT_PFJet260_v4,0.002411526,0.000314271
274319:4979,06/02/16 00:56:19,225,HLT_PFJet260_v4,0.000326926,0.000316198
274335:4980,06/02/16 09:10:43,944,HLT_PFJet260_v4,0.001719571,0.001646459
274336:4980,06/02/16 15:25:02,14,HLT_PFJet260_v4,0.000023054,0.000020025
274337:4980,06/02/16 15:32:31,17,HLT_PFJet260_v4,0.000027858,0.000020464
