#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
273158:4915,05/11/16 20:42:35,1279,HLT_PFJet60_v4,0.000002278,0.000002132
273302:4919,05/13/16 02:13:38,459,HLT_PFJet60_v4,0.000000714,0.000000685
273402:4924,05/14/16 01:49:19,193,HLT_PFJet60_v4,0.000000169,0.000000159
273403:4924,05/14/16 03:05:27,65,HLT_PFJet60_v4,0.000000099,0.000000077
273404:4924,05/14/16 03:31:50,22,HLT_PFJet60_v4,0.000000033,0.000000026
273405:4924,05/14/16 03:42:33,28,HLT_PFJet60_v4,0.000000042,0.000000034
273406:4924,05/14/16 03:56:09,117,HLT_PFJet60_v4,0.000000173,0.000000158
273408:4924,05/14/16 04:52:04,8,HLT_PFJet60_v4,0.000000114,0.000000066
273409:4924,05/14/16 04:56:41,314,HLT_PFJet60_v4,0.000000896,0.000000793
273410:4924,05/14/16 06:59:49,98,HLT_PFJet60_v4,0.000000272,0.000000229
273411:4924,05/14/16 07:38:50,29,HLT_PFJet60_v4,0.000000066,0.000000062
273425:4925,05/14/16 11:17:57,678,HLT_PFJet60_v4,0.000001192,0.000001123
273446:4926,05/14/16 20:06:55,46,HLT_PFJet60_v4,0.000000034,0.000000023
273447:4926,05/14/16 20:26:09,419,HLT_PFJet60_v4,0.000000291,0.000000272
273448:4926,05/14/16 23:11:51,396,HLT_PFJet60_v4,0.000000287,0.000000261
273449:4926,05/15/16 01:50:28,210,HLT_PFJet60_v4,0.000000507,0.000000479
273450:4926,05/15/16 03:19:37,643,HLT_PFJet60_v4,0.000001413,0.000001353
273492:4930,05/16/16 09:07:35,267,HLT_PFJet60_v4,0.000000537,0.000000510
273493:4930,05/16/16 10:55:49,233,HLT_PFJet60_v4,0.000000459,0.000000435
273494:4930,05/16/16 12:28:40,192,HLT_PFJet60_v4,0.000000366,0.000000354
273502:4935,05/16/16 20:00:07,997,HLT_PFJet60_v4,0.000002058,0.000001967
273503:4935,05/17/16 02:31:25,598,HLT_PFJet60_v4,0.000001099,0.000001065
273554:4942,05/18/16 05:30:44,366,HLT_PFJet60_v4,0.000000296,0.000000280
273555:4942,05/18/16 07:55:51,173,HLT_PFJet60_v4,0.000000132,0.000000128
273725:4947,05/20/16 02:37:26,2470,HLT_PFJet60_v4,0.000008992,0.000008664
273728:4947,05/20/16 19:02:03,104,HLT_PFJet60_v4,0.000000445,0.000000411
273730:4947,05/20/16 19:47:25,2126,HLT_PFJet60_v4,0.000013335,0.000012882
274094:4953,05/27/16 02:21:04,225,HLT_PFJet60_v4,0.000000851,0.000000819
274146:4956,05/27/16 22:11:21,70,HLT_PFJet60_v4,0.000000170,0.000000148
274157:4958,05/28/16 11:50:04,427,HLT_PFJet60_v4,0.000000486,0.000000459
274159:4958,05/28/16 14:43:47,43,HLT_PFJet60_v4,0.000000116,0.000000103
274160:4958,05/28/16 15:02:52,211,HLT_PFJet60_v4,0.000000552,0.000000519
274161:4958,05/28/16 16:26:18,516,HLT_PFJet60_v4,0.000001259,0.000001216
274172:4960,05/29/16 00:45:19,65,HLT_PFJet60_v4,0.000000078,0.000000069
274198:4961,05/29/16 20:00:35,112,HLT_PFJet60_v4,0.000000122,0.000000110
274199:4961,05/29/16 20:45:19,630,HLT_PFJet60_v4,0.000000925,0.000000879
274200:4961,05/30/16 00:53:47,674,HLT_PFJet60_v4,0.000001764,0.000001711
274240:4964,05/30/16 13:59:19,83,HLT_PFJet60_v4,0.000000077,0.000000071
274241:4964,05/30/16 14:43:35,1176,HLT_PFJet60_v4,0.000002013,0.000001918
274244:4964,05/30/16 22:37:51,593,HLT_PFJet60_v4,0.000004126,0.000003991
274250:4965,05/31/16 05:55:31,703,HLT_PFJet60_v4,0.000000724,0.000000683
274251:4965,05/31/16 10:30:54,546,HLT_PFJet60_v4,0.000000686,0.000000664
274283:4976,06/01/16 03:25:03,19,HLT_PFJet60_v4,0.000000022,0.000000003
274284:4976,06/01/16 03:34:51,213,HLT_PFJet60_v4,0.000000229,0.000000214
274286:4976,06/01/16 05:04:18,154,HLT_PFJet60_v4,0.000000161,0.000000154
274314:4979,06/01/16 15:02:56,69,HLT_PFJet60_v4,0.000000091,0.000000072
274315:4979,06/01/16 15:32:32,425,HLT_PFJet60_v4,0.000000528,0.000000500
274316:4979,06/01/16 18:20:25,970,HLT_PFJet60_v4,0.000001020,0.000000976
274317:4979,06/02/16 00:39:53,18,HLT_PFJet60_v4,0.000001206,0.000000157
274319:4979,06/02/16 00:56:19,225,HLT_PFJet60_v4,0.000000210,0.000000203
274335:4980,06/02/16 09:10:43,944,HLT_PFJet60_v4,0.000001105,0.000001058
274336:4980,06/02/16 15:25:02,14,HLT_PFJet60_v4,0.000000015,0.000000013
274337:4980,06/02/16 15:32:31,17,HLT_PFJet60_v4,0.000000018,0.000000013
274338:4980,06/02/16 15:41:22,698,HLT_PFJet60_v4,0.000001238,0.000001166
274339:4980,06/02/16 20:15:40,95,HLT_PFJet60_v4,0.000000160,0.000000150
274344:4980,06/02/16 21:29:06,634,HLT_PFJet60_v4,0.000003542,0.000003366
274345:4980,06/03/16 01:37:46,170,HLT_PFJet60_v4,0.000001537,0.000001490
274382:4984,06/03/16 15:37:56,51,HLT_PFJet60_v4,0.000000058,0.000000054
274387:4985,06/03/16 19:10:09,355,HLT_PFJet60_v4,0.000000449,0.000000420
274388:4985,06/03/16 21:32:38,1820,HLT_PFJet60_v4,0.000002921,0.000002819
274420:4988,06/04/16 20:16:58,176,HLT_PFJet60_v4,0.000000214,0.000000203
274421:4988,06/04/16 21:28:04,348,HLT_PFJet60_v4,0.000000412,0.000000389
274422:4988,06/04/16 23:46:51,2207,HLT_PFJet60_v4,0.000008256,0.000008016
274440:4990,06/05/16 19:32:38,406,HLT_PFJet60_v4,0.000000483,0.000000458
274441:4990,06/05/16 22:13:06,437,HLT_PFJet60_v4,0.000000580,0.000000550
