#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
273158:4915,05/11/16 20:42:35,1279,HLT_PFJet400_v4,0.027340329,0.025581981
273302:4919,05/13/16 02:13:38,459,HLT_PFJet400_v4,0.008573813,0.008225061
273402:4924,05/14/16 01:49:19,193,HLT_PFJet400_v4,0.002287622,0.002162449
273403:4924,05/14/16 03:05:27,65,HLT_PFJet400_v4,0.001186203,0.000918579
273404:4924,05/14/16 03:31:50,22,HLT_PFJet400_v4,0.000398813,0.000308112
273405:4924,05/14/16 03:42:33,28,HLT_PFJet400_v4,0.000505439,0.000403100
273406:4924,05/14/16 03:56:09,117,HLT_PFJet400_v4,0.002079716,0.001901640
273408:4924,05/14/16 04:52:04,8,HLT_PFJet400_v4,0.000280398,0.000181778
273409:4924,05/14/16 04:56:41,314,HLT_PFJet400_v4,0.010755324,0.009512812
273410:4924,05/14/16 06:59:49,98,HLT_PFJet400_v4,0.003260935,0.002753036
273411:4924,05/14/16 07:38:50,29,HLT_PFJet400_v4,0.000791341,0.000741045
273425:4925,05/14/16 11:17:57,678,HLT_PFJet400_v4,0.014308724,0.013471830
273446:4926,05/14/16 20:06:55,46,HLT_PFJet400_v4,0.000644558,0.000432270
273447:4926,05/14/16 20:26:09,419,HLT_PFJet400_v4,0.005593960,0.005228830
273448:4926,05/14/16 23:11:51,396,HLT_PFJet400_v4,0.005185644,0.004789317
273449:4926,05/15/16 01:50:28,210,HLT_PFJet400_v4,0.006079895,0.005749072
273450:4926,05/15/16 03:19:37,643,HLT_PFJet400_v4,0.016953890,0.016233458
273492:4930,05/16/16 09:07:35,267,HLT_PFJet400_v4,0.006440115,0.006117155
273493:4930,05/16/16 10:55:49,233,HLT_PFJet400_v4,0.005504350,0.005223099
273494:4930,05/16/16 12:28:40,192,HLT_PFJet400_v4,0.004391433,0.004249189
273502:4935,05/16/16 20:00:07,997,HLT_PFJet400_v4,0.024695998,0.023603565
273503:4935,05/17/16 02:31:25,598,HLT_PFJet400_v4,0.013185165,0.012779116
273554:4942,05/18/16 05:30:44,366,HLT_PFJet400_v4,0.005688478,0.005383063
273555:4942,05/18/16 07:55:51,173,HLT_PFJet400_v4,0.002534478,0.002452605
273725:4947,05/20/16 02:37:26,2470,HLT_PFJet400_v4,0.056294710,0.054244107
