#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
273158:4915,05/11/16 20:42:35,1279,HLT_PFJet40_v4,0.000001328,0.000001247
273302:4919,05/13/16 02:13:38,459,HLT_PFJet40_v4,0.000000422,0.000000405
273402:4924,05/14/16 01:49:19,193,HLT_PFJet40_v4,0.000000239,0.000000226
273403:4924,05/14/16 03:05:27,65,HLT_PFJet40_v4,0.000000058,0.000000045
273404:4924,05/14/16 03:31:50,22,HLT_PFJet40_v4,0.000000020,0.000000015
273405:4924,05/14/16 03:42:33,28,HLT_PFJet40_v4,0.000000025,0.000000020
273406:4924,05/14/16 03:56:09,117,HLT_PFJet40_v4,0.000000102,0.000000094
273408:4924,05/14/16 04:52:04,8,HLT_PFJet40_v4,0.000000414,0.000000269
273409:4924,05/14/16 04:56:41,314,HLT_PFJet40_v4,0.000000265,0.000000234
273410:4924,05/14/16 06:59:49,98,HLT_PFJet40_v4,0.000000080,0.000000068
273411:4924,05/14/16 07:38:50,29,HLT_PFJet40_v4,0.000000019,0.000000018
273425:4925,05/14/16 11:17:57,678,HLT_PFJet40_v4,0.000000705,0.000000663
273446:4926,05/14/16 20:06:55,46,HLT_PFJet40_v4,0.000000033,0.000000022
273447:4926,05/14/16 20:26:09,419,HLT_PFJet40_v4,0.000000283,0.000000264
273448:4926,05/14/16 23:11:51,396,HLT_PFJet40_v4,0.000000240,0.000000227
273449:4926,05/15/16 01:48:09,216,HLT_PFJet40_v4,0.000000061,0.000000058
273450:4926,05/15/16 03:19:37,643,HLT_PFJet40_v4,0.000000171,0.000000164
273492:4930,05/16/16 09:07:35,267,HLT_PFJet40_v4,0.000000065,0.000000062
273493:4930,05/16/16 10:54:39,236,HLT_PFJet40_v4,0.000000056,0.000000053
273494:4930,05/16/16 12:28:40,192,HLT_PFJet40_v4,0.000000044,0.000000043
273502:4935,05/16/16 20:00:07,997,HLT_PFJet40_v4,0.000000250,0.000000238
273503:4935,05/17/16 02:31:25,598,HLT_PFJet40_v4,0.000000133,0.000000129
273554:4942,05/18/16 05:30:44,366,HLT_PFJet40_v4,0.000000215,0.000000204
273555:4942,05/18/16 07:55:51,173,HLT_PFJet40_v4,0.000000096,0.000000093
273725:4947,05/20/16 02:37:26,2470,HLT_PFJet40_v4,0.000002136,0.000002059
273728:4947,05/20/16 19:02:03,104,HLT_PFJet40_v4,0.000000081,0.000000075
273730:4947,05/20/16 19:47:25,2126,HLT_PFJet40_v4,0.000001089,0.000001063
274094:4953,05/27/16 02:21:04,225,HLT_PFJet40_v4,0.000000309,0.000000297
274146:4956,05/27/16 22:10:11,73,HLT_PFJet40_v4,0.000000067,0.000000059
274157:4958,05/28/16 11:50:04,431,HLT_PFJet40_v4,0.000000258,0.000000244
274159:4958,05/28/16 14:43:47,43,HLT_PFJet40_v4,0.000000038,0.000000034
274160:4958,05/28/16 15:02:52,211,HLT_PFJet40_v4,0.000000181,0.000000171
274161:4958,05/28/16 16:26:18,516,HLT_PFJet40_v4,0.000000414,0.000000400
274172:4960,05/29/16 00:45:19,65,HLT_PFJet40_v4,0.000000039,0.000000035
274198:4961,05/29/16 20:00:35,112,HLT_PFJet40_v4,0.000000064,0.000000058
274199:4961,05/29/16 20:45:19,630,HLT_PFJet40_v4,0.000000446,0.000000424
274200:4961,05/30/16 00:52:14,678,HLT_PFJet40_v4,0.000000515,0.000000499
274240:4964,05/30/16 13:59:19,83,HLT_PFJet40_v4,0.000000043,0.000000040
274241:4964,05/30/16 14:43:35,1176,HLT_PFJet40_v4,0.000000802,0.000000768
274244:4964,05/30/16 22:32:25,607,HLT_PFJet40_v4,0.000000591,0.000000572
274250:4965,05/31/16 05:55:31,703,HLT_PFJet40_v4,0.000000381,0.000000360
274251:4965,05/31/16 10:30:54,546,HLT_PFJet40_v4,0.000000328,0.000000317
274283:4976,06/01/16 03:25:03,19,HLT_PFJet40_v4,0.000000012,0.000000001
274284:4976,06/01/16 03:34:51,213,HLT_PFJet40_v4,0.000000121,0.000000112
274286:4976,06/01/16 05:04:18,154,HLT_PFJet40_v4,0.000000085,0.000000081
274314:4979,06/01/16 15:02:56,69,HLT_PFJet40_v4,0.000000043,0.000000034
274315:4979,06/01/16 15:32:32,425,HLT_PFJet40_v4,0.000000249,0.000000236
274316:4979,06/01/16 18:20:25,970,HLT_PFJet40_v4,0.000000480,0.000000459
274317:4979,06/02/16 00:39:53,18,HLT_PFJet40_v4,0.000000162,0.000000021
274319:4979,06/02/16 00:56:19,225,HLT_PFJet40_v4,0.000000099,0.000000096
274335:4980,06/02/16 09:10:43,944,HLT_PFJet40_v4,0.000000521,0.000000498
274336:4980,06/02/16 15:25:02,14,HLT_PFJet40_v4,0.000000007,0.000000006
274337:4980,06/02/16 15:32:31,17,HLT_PFJet40_v4,0.000000008,0.000000006
274338:4980,06/02/16 15:41:22,698,HLT_PFJet40_v4,0.000000502,0.000000473
274339:4980,06/02/16 20:15:40,95,HLT_PFJet40_v4,0.000000064,0.000000060
274344:4980,06/02/16 21:27:09,639,HLT_PFJet40_v4,0.000000547,0.000000523
274345:4980,06/03/16 01:37:46,170,HLT_PFJet40_v4,0.000000164,0.000000159
274382:4984,06/03/16 15:37:56,51,HLT_PFJet40_v4,0.000000027,0.000000025
274387:4985,06/03/16 19:10:09,355,HLT_PFJet40_v4,0.000000209,0.000000196
274388:4985,06/03/16 21:32:38,1820,HLT_PFJet40_v4,0.000001187,0.000001145
274420:4988,06/04/16 20:16:58,176,HLT_PFJet40_v4,0.000000100,0.000000094
274421:4988,06/04/16 21:28:04,348,HLT_PFJet40_v4,0.000000192,0.000000181
274422:4988,06/04/16 23:46:51,2207,HLT_PFJet40_v4,0.000001709,0.000001658
274440:4990,06/05/16 19:32:38,406,HLT_PFJet40_v4,0.000000225,0.000000214
274441:4990,06/05/16 22:13:06,437,HLT_PFJet40_v4,0.000000257,0.000000244
274442:4990,06/06/16 01:05:09,752,HLT_PFJet40_v4,0.000000551,0.000000533
274954:5005,06/11/16 09:40:51,21,HLT_PFJet40_v5,0.000000110,0.000000087
274955:5005,06/11/16 09:52:07,91,HLT_PFJet40_v5,0.000000452,0.000000431
