#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
273158:4915,05/11/16 20:42:35,1279,HLT_PFJet80_v4,0.000000689,0.000000592
273302:4919,05/13/16 02:13:38,459,HLT_PFJet80_v4,0.000085738,0.000082251
273402:4924,05/14/16 01:49:19,193,HLT_PFJet80_v4,0.000002574,0.000002434
273403:4924,05/14/16 03:05:27,65,HLT_PFJet80_v4,0.000001186,0.000000919
273404:4924,05/14/16 03:31:50,22,HLT_PFJet80_v4,0.000000399,0.000000308
273405:4924,05/14/16 03:42:33,28,HLT_PFJet80_v4,0.000000505,0.000000403
273406:4924,05/14/16 03:56:09,117,HLT_PFJet80_v4,0.000002080,0.000001902
273408:4924,05/14/16 04:52:04,8,HLT_PFJet80_v4,0.000011390,0.000006618
273409:4924,05/14/16 04:56:41,314,HLT_PFJet80_v4,0.000010755,0.000009513
273410:4924,05/14/16 06:59:49,98,HLT_PFJet80_v4,0.000003261,0.000002753
273411:4924,05/14/16 07:38:50,29,HLT_PFJet80_v4,0.000000791,0.000000741
273425:4925,05/14/16 11:17:57,678,HLT_PFJet80_v4,0.000014309,0.000013472
273446:4926,05/14/16 20:06:55,46,HLT_PFJet80_v4,0.000000921,0.000000618
273447:4926,05/14/16 20:26:09,419,HLT_PFJet80_v4,0.000007991,0.000007470
273448:4926,05/14/16 23:11:51,396,HLT_PFJet80_v4,0.000007180,0.000006687
273449:4926,05/15/16 01:50:28,210,HLT_PFJet80_v4,0.000006080,0.000005749
273450:4926,05/15/16 03:19:37,643,HLT_PFJet80_v4,0.000016954,0.000016233
273492:4930,05/16/16 09:07:35,267,HLT_PFJet80_v4,0.000006440,0.000006117
273493:4930,05/16/16 10:55:49,233,HLT_PFJet80_v4,0.000005504,0.000005223
273494:4930,05/16/16 12:28:40,192,HLT_PFJet80_v4,0.000004391,0.000004249
273502:4935,05/16/16 20:00:07,997,HLT_PFJet80_v4,0.000024696,0.000023604
273503:4935,05/17/16 02:31:25,598,HLT_PFJet80_v4,0.000013185,0.000012779
